Date of Demolition;Locality;District;Area;Housing Units;People left Homeless;Minors left Homeless;Type Of Sturcture
27/12/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
27/12/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
27/12/21;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
27/12/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
27/12/21;Hizma;al-Quds;west-bank;3;0;0;Non Resedential
22/12/21;al-Hijrah;Hebron;west-bank;1;0;0;Non Resedential
22/12/21;al-Hijrah;Hebron;west-bank;1;0;0;Non Resedential
21/12/21;Nahhalin;Bethlehem;west-bank;1;8;3;Residental
16/12/21;'Ein a-Duyuk a-Tahta;Jericho;west-bank;2;0;0;Residental
16/12/21;Bruqin;Salfit;west-bank;1;0;0;Non Resedential
13/12/21;Khalet al-Furn;Hebron;west-bank;1;0;0;Non Resedential
7/12/21;Nahhalin;Bethlehem;west-bank;1;0;0;Non Resedential
7/12/21;Nahhalin;Bethlehem;west-bank;1;0;0;Non Resedential
6/12/21;al-Buweib;Hebron;west-bank;1;0;0;Non Resedential
6/12/21;Zif;Hebron;west-bank;1;0;0;Residental
6/12/21;Zif;Hebron;west-bank;1;0;0;Non Resedential
5/12/21;Kh. Tana;Nablus;west-bank;1;5;3;Residental
5/12/21;Kh. Tana;Nablus;west-bank;1;0;0;Non Resedential
5/12/21;al-Khas;Bethlehem;west-bank;1;0;0;Residental
5/12/21;al-Khader;Bethlehem;west-bank;1;0;0;Non Resedential
5/12/21;al-Khader;Bethlehem;west-bank;1;0;0;Non Resedential
5/12/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
5/12/21;Kh. Humsah;Tubas;west-bank;2;0;0;Residental
2/12/21;Kh. al-Markez;Hebron;west-bank;1;1;0;Residental
2/12/21;Kh. al-Markez;Hebron;west-bank;1;4;2;Residental
2/12/21;Kh. al-Markez;Hebron;west-bank;1;7;3;Residental
2/12/21;Kh. al-Markez;Hebron;west-bank;1;0;0;Non Resedential
2/12/21;Kh. al-Markez;Hebron;west-bank;1;5;3;Residental
1/12/21;Abu Dis;al-Quds;west-bank;1;0;0;Non Resedential
29/11/21;Nahhalin;Bethlehem;west-bank;1;0;0;Residental
29/11/21;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
29/11/21;Ni'lin;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
28/11/21;Tammun;Tubas;west-bank;1;0;0;Non Resedential
23/11/21;al-Khas;Bethlehem;west-bank;3;0;0;Residental
23/11/21;al-Khas;Bethlehem;west-bank;1;0;0;Non Resedential
23/11/21;'Asirah a-Shamaliyah;Nablus;west-bank;1;0;0;Non Resedential
23/11/21;a-Deirat;Hebron;west-bank;1;0;0;Non Resedential
23/11/21;Kh. Ma'in;Hebron;west-bank;1;0;0;Residental
23/11/21;Ras a-Tin;Ramallah and al-Bira;west-bank;3;0;0;Non Resedential
23/11/21;'Ein Samia;Ramallah and al-Bira;west-bank;1;8;3;Residental
23/11/21;'Ein Samia;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
22/11/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
22/11/21;a-Nabi Elyas;Qalqiliya;west-bank;1;0;0;Non Resedential
21/11/21;a-Sawahrah a-Sharqiyah;al-Quds;west-bank;1;0;0;Non Resedential
21/11/21;a-Sawahrah a-Sharqiyah;al-Quds;west-bank;1;0;0;Non Resedential
17/11/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
17/11/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
16/11/21;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
16/11/21;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
16/11/21;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
16/11/21;Qalandia;al-Quds;west-bank;1;0;0;Non Resedential
15/11/21;a-Rifa'iya;Hebron;west-bank;1;0;0;Non Resedential
15/11/21;Zif;Hebron;west-bank;1;0;0;Residental
15/11/21;Salfit;Salfit;west-bank;1;0;0;Non Resedential
15/11/21;Salfit;Salfit;west-bank;1;0;0;Non Resedential
15/11/21;Kh. Jamrurah;Hebron;west-bank;1;5;3;Residental
15/11/21;Kh. Jamrurah;Hebron;west-bank;1;6;4;Residental
15/11/21;Kh. Jamrurah;Hebron;west-bank;1;6;2;Residental
15/11/21;Kh. Jamrurah;Hebron;west-bank;1;0;0;Non Resedential
10/11/21;Hebron;Hebron;west-bank;1;0;0;Residental
8/11/21;al-Khader;Bethlehem;west-bank;1;7;5;Residental
8/11/21;al-Khader;Bethlehem;west-bank;1;0;0;Non Resedential
8/11/21;'Arab a-Ramadin al-Janubi;Qalqiliya;west-bank;1;0;0;Non Resedential
7/11/21;Tarqumya;Hebron;west-bank;1;0;0;Non Resedential
7/11/21;Tarqumya;Hebron;west-bank;1;0;0;Non Resedential
7/11/21;Tarqumya;Hebron;west-bank;1;0;0;Non Resedential
7/11/21;Kh. Um al-Jamal;Tubas;west-bank;1;0;0;Residental
7/11/21;Kh. Um al-Jamal;Tubas;west-bank;3;0;0;Residental
7/11/21;Far'a;Hebron;west-bank;1;7;2;Residental
7/11/21;Far'a;Hebron;west-bank;1;0;0;Non Resedential
4/11/21;Duma;Nablus;west-bank;1;0;0;Non Resedential
4/11/21;Duma;Nablus;west-bank;3;0;0;Non Resedential
3/11/21;Burqah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
3/11/21;al-Khalayleh;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
3/11/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
2/11/21;Huwarah;Nablus;west-bank;1;0;0;Non Resedential
2/11/21;al-Jawaya;Hebron;west-bank;2;15;7;Residental
1/11/21;a-Sawiyah;Nablus;west-bank;1;0;0;Non Resedential
1/11/21;'Ein al-Meyteh;Tubas;west-bank;1;9;7;Residental
1/11/21;'Ein al-Meyteh;Tubas;west-bank;7;0;0;Non Resedential
26/10/21;Ni'lin;Ramallah and al-Bira;west-bank;4;0;0;Non Resedential
25/10/21;al-Mufaqarah;Hebron;west-bank;1;0;0;Non Resedential
25/10/21;Hamam al-Maleh;Tubas;west-bank;3;0;0;Non Resedential
24/10/21;Kh. Khilet a-Dabe';Hebron;west-bank;1;0;0;Non Resedential
20/10/21;Khallet al-Louza;Bethlehem;west-bank;1;0;0;Residental
20/10/21;Khallet al-Louza;Bethlehem;west-bank;1;0;0;Non Resedential
19/10/21;Ya'bad;Jenin;west-bank;1;0;0;Non Resedential
18/10/21;Tayasir;Tubas;west-bank;1;0;0;Non Resedential
18/10/21;Sikkah;Hebron;west-bank;1;0;0;Residental
18/10/21;Farsh al-Hawa;Hebron;west-bank;1;0;0;Residental
14/10/21;a-Ram;al-Quds;west-bank;1;0;0;Non Resedential
14/10/21;Ras a-Tin;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
14/10/21;Ras a-Tin;Ramallah and al-Bira;west-bank;1;0;0;Residental
14/10/21;Ras a-Tin;Ramallah and al-Bira;west-bank;1;0;0;Residental
14/10/21;Ras a-Tin;Ramallah and al-Bira;west-bank;1;0;0;Residental
14/10/21;Ras a-Tin;Ramallah and al-Bira;west-bank;2;0;0;Residental
14/10/21;Ras a-Tin;Ramallah and al-Bira;west-bank;1;0;0;Residental
13/10/21;Haris;Salfit;west-bank;1;0;0;Non Resedential
12/10/21;Abu a-Nuwar;al-Quds;west-bank;1;0;0;Non Resedential
7/10/21;a-Za'ayem;al-Quds;west-bank;1;2;0;Residental
7/10/21;a-Za'ayem;al-Quds;west-bank;1;2;0;Residental
6/10/21;al-Karmel;Hebron;west-bank;1;0;0;Non Resedential
2/9/21;Jaba';al-Quds;west-bank;1;0;0;Residental
1/9/21;al-Fureidis;Bethlehem;west-bank;1;0;0;Residental
1/9/21;Duma;Nablus;west-bank;5;0;0;Non Resedential
1/9/21;Duma;Nablus;west-bank;3;0;0;Non Resedential
31/8/21;Harmalah;Bethlehem;west-bank;1;10;6;Residental
31/8/21;Kh.Ibziq;Tubas;west-bank;1;0;0;Residental
31/8/21;Kh.Ibziq;Tubas;west-bank;3;0;0;Non Resedential
31/8/21;Kh.Ibziq;Tubas;west-bank;1;0;0;Residental
31/8/21;Kh.Ibziq;Tubas;west-bank;3;0;0;Non Resedential
25/8/21;Hebron;Hebron;west-bank;1;0;0;Non Resedential
25/8/21;Khalet al-Furn;Hebron;west-bank;1;0;0;Non Resedential
25/8/21;Deir al-Ghusun;Tulkarm;west-bank;2;0;0;Non Resedential
24/8/21;Kh. a-Rahwah;Hebron;west-bank;1;0;0;Non Resedential
24/8/21;Kh. a-Rahwah;Hebron;west-bank;1;0;0;Non Resedential
24/8/21;Kh. a-Rahwah;Hebron;west-bank;1;0;0;Non Resedential
24/8/21;Kh. a-Rahwah;Hebron;west-bank;1;0;0;Non Resedential
23/8/21;Sabastiya;Nablus;west-bank;1;0;0;Non Resedential
18/8/21;Farasin;Jenin;west-bank;2;0;0;Non Resedential
17/8/21;Qabalan;Nablus;west-bank;1;0;0;Residental
16/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
16/8/21;Deir Ballut;Salfit;west-bank;1;0;0;Non Resedential
16/8/21;Kh. 'Atuf;Tubas;west-bank;1;0;0;Non Resedential
16/8/21;Kh. 'Atuf;Tubas;west-bank;1;0;0;Non Resedential
11/8/21;a-Lubban a-Sharqiyah;Nablus;west-bank;1;0;0;Non Resedential
10/8/21;Kh. al-Fakhit;Hebron;west-bank;1;0;0;Non Resedential
10/8/21;Kh. al-Fakhit;Hebron;west-bank;1;0;0;Non Resedential
10/8/21;Kh. Khilet a-Dabe';Hebron;west-bank;1;11;6;Residental
9/8/21;Ya'bad;Jenin;west-bank;1;0;0;Non Resedential
9/8/21;Ya'bad;Jenin;west-bank;3;0;0;Non Resedential
9/8/21;Ya'bad;Jenin;west-bank;1;0;0;Non Resedential
9/8/21;Ya'bad;Jenin;west-bank;1;0;0;Non Resedential
9/8/21;'Araba;Jenin;west-bank;1;0;0;Non Resedential
4/8/21;Sa'ir;Hebron;west-bank;1;0;0;Residental
4/8/21;Sa'ir;Hebron;west-bank;1;0;0;Residental
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
4/8/21;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
4/8/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;17;8;Residental
4/8/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;4;0;0;Non Resedential
4/8/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;2;0;0;Residental
4/8/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
4/8/21;Kh.Ibziq;Tubas;west-bank;1;9;7;Residental
4/8/21;Kh.Ibziq;Tubas;west-bank;3;0;0;Non Resedential
4/8/21;Kh.Ibziq;Tubas;west-bank;2;10;6;Residental
4/8/21;Kh.Ibziq;Tubas;west-bank;4;0;0;Non Resedential
4/8/21;Kh.Ibziq;Tubas;west-bank;1;6;4;Residental
4/8/21;Kh.Ibziq;Tubas;west-bank;3;0;0;Non Resedential
4/8/21;al-Mukasar;Tubas;west-bank;3;0;0;Non Resedential
3/8/21;Wadi Rahhal;Bethlehem;west-bank;2;0;0;Non Resedential
3/8/21;Sa'ir;Hebron;west-bank;1;9;4;Residental
3/8/21;Sabastiya;Nablus;west-bank;1;0;0;Non Resedential
26/7/21;a-Lubban al-Gharbiyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
26/7/21;a-Lubban al-Gharbiyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
26/7/21;a-Lubban al-Gharbiyah;Ramallah and al-Bira;west-bank;3;0;0;Non Resedential
26/7/21;a-Sheikh Sa'ed;al-Quds;west-bank;1;0;0;Residental
15/7/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;7;5;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;12;7;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;7;5;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;9;7;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;9;6;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;10;8;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;3;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;3;1;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;3;1;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;8;6;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;4;2;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;3;1;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;4;2;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;2;4;1;Residental
14/7/21;al-Mughayir;Ramallah and al-Bira;west-bank;5;0;0;Non Resedential
14/7/21;Furush Beit Dajan;Nablus;west-bank;1;0;0;Non Resedential
14/7/21;a-Nabi Samwil;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
13/7/21;Qusrah;Nablus;west-bank;1;0;0;Non Resedential
13/7/21;Qusrah;Nablus;west-bank;1;0;0;Non Resedential
13/7/21;Qusrah;Nablus;west-bank;1;0;0;Non Resedential
12/7/21;Kh. Qusah;Hebron;west-bank;1;0;0;Non Resedential
12/7/21;Bani Na'im;Hebron;west-bank;4;0;0;Non Resedential
12/7/21;Haris;Salfit;west-bank;1;0;0;Non Resedential
12/7/21;Haris;Salfit;west-bank;3;0;0;Non Resedential
12/7/21;Bardalah;Tubas;west-bank;1;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;4;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;4;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Residental
7/7/21;Kh. Humsah;Tubas;west-bank;5;0;0;Non Resedential
7/7/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
6/7/21;al-Jawaya;Hebron;west-bank;1;0;0;Non Resedential
30/6/21;Bruqin;Salfit;west-bank;1;0;0;Residental
24/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
24/6/21;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
24/6/21;'Anata;al-Quds;west-bank;1;0;0;Non Resedential
23/6/21;Masafer Yatta;Hebron;west-bank;1;0;0;Non Resedential
22/6/21;Burqah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
22/6/21;Burqah;Ramallah and al-Bira;west-bank;3;0;0;Non Resedential
21/6/21;al-Muntar;al-Quds;west-bank;1;4;2;Residental
21/6/21;al-Muntar;al-Quds;west-bank;1;2;0;Residental
17/6/21;Halhul;Hebron;west-bank;1;14;7;Residental
17/6/21;Halhul;Hebron;west-bank;2;0;0;Non Resedential
17/6/21;Jinsafut;Qalqiliya;west-bank;1;0;0;Non Resedential
14/6/21;Deir Sharaf;Nablus;west-bank;3;0;0;Non Resedential
14/6/21;Deir Sharaf;Nablus;west-bank;1;0;0;Non Resedential
14/6/21;Deir Sharaf;Nablus;west-bank;3;0;0;Non Resedential
13/6/21;Mikhmas;al-Quds;west-bank;1;3;1;Residental
13/6/21;Mikhmas;al-Quds;west-bank;2;14;8;Residental
13/6/21;Mikhmas;al-Quds;west-bank;1;0;0;Non Resedential
13/6/21;Mikhmas;al-Quds;west-bank;1;0;0;Residental
13/6/21;Mikhmas;al-Quds;west-bank;1;0;0;Non Resedential
13/6/21;Mikhmas;al-Quds;west-bank;2;3;2;Residental
10/6/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
10/6/21;a-Za'ayem;al-Quds;west-bank;4;0;0;Non Resedential
10/6/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
10/6/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
10/6/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
10/6/21;a-Za'ayem;al-Quds;west-bank;1;0;0;Non Resedential
10/6/21;a-Za'ayem;al-Quds;west-bank;2;0;0;Non Resedential
9/6/21;She'b al-Batem;Hebron;west-bank;2;0;0;Non Resedential
8/6/21;a-Tuwani;Hebron;west-bank;2;0;0;Non Resedential
8/6/21;Bardalah;Tubas;west-bank;1;0;0;Non Resedential
8/6/21;Bardalah;Tubas;west-bank;1;0;0;Non Resedential
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;7;5;Residental
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Residental
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Residental
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
7/6/21;a-Rakeez;Hebron;west-bank;1;0;0;Non Resedential
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;7;5;Residental
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;2;0;0;Non Resedential
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;8;6;Residental
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;1;2;0;Residental
7/6/21;Badu a-Mu'arrajat;Ramallah and al-Bira;west-bank;3;0;0;Non Resedential
2/6/21;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
1/6/21;a-Samu';Hebron;west-bank;1;9;5;Residental
1/6/21;a-Lubban al-Gharbiyah;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
31/5/21;al-Buweib;Hebron;west-bank;1;0;0;Non Resedential
31/5/21;al-Buweib;Hebron;west-bank;1;0;0;Non Resedential
31/5/21;al-Buweib;Hebron;west-bank;1;0;0;Non Resedential
31/5/21;al-Khalayleh;al-Quds;west-bank;1;0;0;Non Resedential
31/5/21;Zif;Hebron;west-bank;1;5;3;Residental
31/5/21;Zif;Hebron;west-bank;1;15;9;Residental
10/5/21;Sabastiya;Nablus;west-bank;1;0;0;Non Resedential
29/4/21;Deir Nizam;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
28/4/21;al-'Eizariyah;al-Quds;west-bank;1;0;0;Non Resedential
20/4/21;Kh. Susiya;Hebron;west-bank;1;0;0;Non Resedential
12/4/21;Bani Na'im;Hebron;west-bank;1;0;0;Non Resedential
12/4/21;Kh. Susiya;Hebron;west-bank;1;0;0;Non Resedential
7/4/21;al-Khalayleh;al-Quds;west-bank;1;0;0;Non Resedential
4/4/21;Jinsafut;Qalqiliya;west-bank;1;0;0;Non Resedential
17/3/21;Kh. Tana;Nablus;west-bank;1;2;0;Residental
17/3/21;Kh. Tana;Nablus;west-bank;1;0;0;Non Resedential
17/3/21;Kh. al-Fakhit;Hebron;west-bank;1;0;0;Non Resedential
17/3/21;a-Za'ayem;al-Quds;west-bank;1;2;0;Residental
17/3/21;a-Za'ayem;al-Quds;west-bank;1;2;0;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;8;5;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;3;1;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;7;3;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;10;3;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;3;1;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;6;2;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;2;0;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;8;5;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;11;5;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;3;1;Residental
17/3/21;a-Nuwei'mah al-Foqa;Jericho;west-bank;1;4;2;Residental
17/3/21;Kh. Tana;Nablus;west-bank;1;7;5;Residental
17/3/21;Kh. Tana;Nablus;west-bank;1;0;0;Non Resedential
17/3/21;Kh. Tana;Nablus;west-bank;1;4;2;Residental
17/3/21;Kh. Tana;Nablus;west-bank;1;0;0;Non Resedential
17/3/21;Kh. Tana;Nablus;west-bank;1;7;5;Residental
17/3/21;Kh. Tana;Nablus;west-bank;1;0;0;Non Resedential
14/3/21;Halhul;Hebron;west-bank;1;0;0;Non Resedential
10/3/21;'Ein Shibli;Nablus;west-bank;1;0;0;Residental
10/3/21;'Ein Shibli;Nablus;west-bank;2;0;0;Non Resedential
10/3/21;'Ein Shibli;Nablus;west-bank;1;0;0;Residental
10/3/21;'Ein Shibli;Nablus;west-bank;2;0;0;Non Resedential
8/3/21;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Residental
8/3/21;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Residental
8/3/21;'Ein a-Duyuk a-Tahta;Jericho;west-bank;1;0;0;Residental
7/3/21;Bani Na'im;Hebron;west-bank;1;0;0;Residental
7/3/21;Bani Na'im;Hebron;west-bank;1;0;0;Non Resedential
3/3/21;al-Khader;Bethlehem;west-bank;1;0;0;Non Resedential
3/3/21;Qalqiliyah;Qalqiliya;west-bank;11;0;0;Non Resedential
2/3/21;Battir;Bethlehem;west-bank;1;0;0;Residental
2/3/21;Zif;Hebron;west-bank;1;0;0;Non Resedential
2/3/21;Beit Jala;Bethlehem;west-bank;1;5;1;Residental
2/3/21;Kh. Khilet a-Dabe';Hebron;west-bank;1;6;4;Residental
2/3/21;Kh. Khilet a-Dabe';Hebron;west-bank;1;5;3;Residental
1/3/21;a-Rakeez;Hebron;west-bank;3;0;0;Non Resedential
1/3/21;Fasayil;Jericho;west-bank;1;0;0;Non Resedential
1/3/21;Fasayil;Jericho;west-bank;1;0;0;Non Resedential
22/2/21;al-Hijrah;Hebron;west-bank;5;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;9;6;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;4;2;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;2;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;3;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;3;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;4;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;4;0;0;Non Resedential
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
22/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Non Resedential
12/2/21;Beit Ta'mar;Bethlehem;west-bank;1;0;0;Non Resedential
10/2/21;Kh. Susiya;Hebron;west-bank;1;7;5;Residental
10/2/21;Khalet al-Furn;Hebron;west-bank;1;0;0;Non Resedential
10/2/21;a-Rakeez;Hebron;west-bank;1;0;0;Non Resedential
10/2/21;a-Rakeez;Hebron;west-bank;1;0;0;Non Resedential
10/2/21;Kh. 'Allan;Jericho;west-bank;1;0;0;Non Resedential
10/2/21;Kh. 'Allan;Jericho;west-bank;2;0;0;Non Resedential
10/2/21;Marj Na'jah;Jericho;west-bank;1;0;0;Non Resedential
8/2/21;Kh.Jib'it;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
8/2/21;Kh. Humsah;Tubas;west-bank;2;0;0;Residental
8/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Non Resedential
8/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
8/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
8/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
8/2/21;Kh. Humsah;Tubas;west-bank;4;0;0;Non Resedential
8/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Residental
8/2/21;Kh. Humsah;Tubas;west-bank;1;0;0;Non Resedential
